1 alignments/orthologs0001.fas	OG0000534	Pa_1_90
2243 alignments/orthologs2243.fas	OG0002784	Pa_1_720
2244 alignments/orthologs2244.fas	OG0002785	Pa_1_710
2245 alignments/orthologs2245.fas	OG0002786	Pa_1_700
2246 alignments/orthologs2246.fas	OG0002787	Pa_1_680
2247 alignments/orthologs2247.fas	OG0002788	Pa_1_675
2248 alignments/orthologs2248.fas	OG0002789	Pa_1_670
2249 alignments/orthologs2249.fas	OG0002790	Pa_1_660
2250 alignments/orthologs2250.fas	OG0002791	Pa_1_650
2251 alignments/orthologs2251.fas	OG0002792	Pa_1_640
2252 alignments/orthologs2252.fas	OG0002793	Pa_1_630
2253 alignments/orthologs2253.fas	OG0002794	Pa_1_620
2254 alignments/orthologs2254.fas	OG0002795	Pa_1_618
2255 alignments/orthologs2255.fas	OG0002796	Pa_1_615
2256 alignments/orthologs2256.fas	OG0002797	Pa_1_610
2257 alignments/orthologs2257.fas	OG0002798	Pa_1_600
2258 alignments/orthologs2258.fas	OG0002799	Pa_1_590
2259 alignments/orthologs2259.fas	OG0002800	Pa_1_580
2260 alignments/orthologs2260.fas	OG0002801	Pa_1_570
2261 alignments/orthologs2261.fas	OG0002802	Pa_1_560
2262 alignments/orthologs2262.fas	OG0002803	Pa_1_550
2263 alignments/orthologs2263.fas	OG0002804	Pa_1_540
2264 alignments/orthologs2264.fas	OG0002805	Pa_1_548
2265 alignments/orthologs2265.fas	OG0002806	Pa_1_543
2266 alignments/orthologs2266.fas	OG0002807	Pa_1_530
2267 alignments/orthologs2267.fas	OG0002808	Pa_1_520
2268 alignments/orthologs2268.fas	OG0002809	Pa_1_450
2269 alignments/orthologs2269.fas	OG0002810	Pa_1_445
2270 alignments/orthologs2270.fas	OG0002811	Pa_1_440
2271 alignments/orthologs2271.fas	OG0002812	Pa_1_430
2272 alignments/orthologs2272.fas	OG0002813	Pa_1_420
2273 alignments/orthologs2273.fas	OG0002814	Pa_1_410
2274 alignments/orthologs2274.fas	OG0002815	Pa_1_380
2275 alignments/orthologs2275.fas	OG0002816	Pa_1_370
2276 alignments/orthologs2276.fas	OG0002817	Pa_1_360
2277 alignments/orthologs2277.fas	OG0002818	Pa_1_350
2278 alignments/orthologs2278.fas	OG0002819	Pa_1_340
2279 alignments/orthologs2279.fas	OG0002820	Pa_1_330
2280 alignments/orthologs2280.fas	OG0002821	Pa_1_320
2281 alignments/orthologs2281.fas	OG0002822	Pa_1_300
2282 alignments/orthologs2282.fas	OG0002823	Pa_1_295
2283 alignments/orthologs2283.fas	OG0002824	Pa_1_290
2284 alignments/orthologs2284.fas	OG0002825	Pa_1_280
2285 alignments/orthologs2285.fas	OG0002826	Pa_1_278
2286 alignments/orthologs2286.fas	OG0002827	Pa_1_275
2287 alignments/orthologs2287.fas	OG0002828	Pa_1_270
2288 alignments/orthologs2288.fas	OG0002829	Pa_1_260
2289 alignments/orthologs2289.fas	OG0002830	Pa_1_240
2290 alignments/orthologs2290.fas	OG0002831	Pa_1_230
2291 alignments/orthologs2291.fas	OG0002832	Pa_1_220
2292 alignments/orthologs2292.fas	OG0002833	Pa_1_210
2293 alignments/orthologs2293.fas	OG0002834	Pa_1_206
2294 alignments/orthologs2294.fas	OG0002835	Pa_1_200
2295 alignments/orthologs2295.fas	OG0002836	Pa_1_190
2296 alignments/orthologs2296.fas	OG0002837	Pa_1_180
2297 alignments/orthologs2297.fas	OG0002838	Pa_1_175
2298 alignments/orthologs2298.fas	OG0002839	Pa_1_115
2299 alignments/orthologs2299.fas	OG0002840	Pa_1_30
2300 alignments/orthologs2300.fas	OG0002841	Pa_0_495
2301 alignments/orthologs2301.fas	OG0002842	Pa_0_530
2302 alignments/orthologs2302.fas	OG0002843	Pa_0_550
2303 alignments/orthologs2303.fas	OG0002844	Pa_0_590
2304 alignments/orthologs2304.fas	OG0002845	Pa_0_600
2305 alignments/orthologs2305.fas	OG0002846	Pa_0_610
2306 alignments/orthologs2306.fas	OG0002847	Pa_0_640
2307 alignments/orthologs2307.fas	OG0002848	Pa_0_650
2308 alignments/orthologs2308.fas	OG0002849	Pa_0_660
2309 alignments/orthologs2309.fas	OG0002850	Pa_0_670
2310 alignments/orthologs2310.fas	OG0002851	Pa_0_680
2311 alignments/orthologs2311.fas	OG0002852	Pa_0_690
2312 alignments/orthologs2312.fas	OG0002853	Pa_0_700
2313 alignments/orthologs2313.fas	OG0002854	Pa_0_710
2314 alignments/orthologs2314.fas	OG0002855	Pa_0_715
2315 alignments/orthologs2315.fas	OG0002856	Pa_0_718
2316 alignments/orthologs2316.fas	OG0002857	Pa_0_720
2317 alignments/orthologs2317.fas	OG0002858	Pa_0_730
2318 alignments/orthologs2318.fas	OG0002859	Pa_0_755
2319 alignments/orthologs2319.fas	OG0002860	Pa_0_785
2320 alignments/orthologs2320.fas	OG0002861	Pa_0_790
2321 alignments/orthologs2321.fas	OG0002862	Pa_0_800
2322 alignments/orthologs2322.fas	OG0002863	Pa_0_810
2323 alignments/orthologs2323.fas	OG0002864	Pa_0_820
2324 alignments/orthologs2324.fas	OG0002865	Pa_0_830
2325 alignments/orthologs2325.fas	OG0002866	Pa_0_850
2326 alignments/orthologs2326.fas	OG0002867	Pa_0_855
2327 alignments/orthologs2327.fas	OG0002868	Pa_0_890
2328 alignments/orthologs2328.fas	OG0002869	Pa_0_900
2329 alignments/orthologs2329.fas	OG0002870	Pa_0_920
2330 alignments/orthologs2330.fas	OG0002871	Pa_0_930
2331 alignments/orthologs2331.fas	OG0002872	Pa_0_940
2332 alignments/orthologs2332.fas	OG0002873	Pa_0_950
2333 alignments/orthologs2333.fas	OG0002874	Pa_0_960
2334 alignments/orthologs2334.fas	OG0002875	Pa_0_970
2335 alignments/orthologs2335.fas	OG0002876	Pa_0_980
2336 alignments/orthologs2336.fas	OG0002877	Pa_0_990
2337 alignments/orthologs2337.fas	OG0002878	Pa_0_1000
2338 alignments/orthologs2338.fas	OG0002879	Pa_0_1020
2339 alignments/orthologs2339.fas	OG0002880	Pa_0_1010
2340 alignments/orthologs2340.fas	OG0002881	Pa_0_1030
2341 alignments/orthologs2341.fas	OG0002882	Pa_0_1040
2342 alignments/orthologs2342.fas	OG0002883	Pa_0_1050
2343 alignments/orthologs2343.fas	OG0002884	Pa_0_1060
2344 alignments/orthologs2344.fas	OG0002885	Pa_0_1064
2345 alignments/orthologs2345.fas	OG0002886	Pa_0_1070
2346 alignments/orthologs2346.fas	OG0002887	Pa_0_1075
2347 alignments/orthologs2347.fas	OG0002888	Pa_0_1080
2348 alignments/orthologs2348.fas	OG0002889	Pa_0_1090
2349 alignments/orthologs2349.fas	OG0002890	Pa_0_1100
2350 alignments/orthologs2350.fas	OG0002891	Pa_0_1110
2351 alignments/orthologs2351.fas	OG0002892	Pa_0_1120
2352 alignments/orthologs2352.fas	OG0002893	Pa_0_1130
2353 alignments/orthologs2353.fas	OG0002894	Pa_0_1140
2354 alignments/orthologs2354.fas	OG0002895	Pa_0_1150
2355 alignments/orthologs2355.fas	OG0002896	Pa_0_1170
2356 alignments/orthologs2356.fas	OG0002897	Pa_0_1180
2357 alignments/orthologs2357.fas	OG0002898	Pa_0_1200
2358 alignments/orthologs2358.fas	OG0002899	Pa_0_1210
2359 alignments/orthologs2359.fas	OG0002900	Pa_0_1220
2360 alignments/orthologs2360.fas	OG0002901	Pa_0_1230
2361 alignments/orthologs2361.fas	OG0002902	Pa_0_1250
2362 alignments/orthologs2362.fas	OG0002903	Pa_0_1260
2363 alignments/orthologs2363.fas	OG0002904	Pa_0_1270
2364 alignments/orthologs2364.fas	OG0002905	Pa_2_10
2365 alignments/orthologs2365.fas	OG0002906	Pa_2_30
2366 alignments/orthologs2366.fas	OG0002907	Pa_2_40
2367 alignments/orthologs2367.fas	OG0002908	Pa_2_50
2368 alignments/orthologs2368.fas	OG0002909	Pa_2_70
2369 alignments/orthologs2369.fas	OG0002910	Pa_2_80
2370 alignments/orthologs2370.fas	OG0002911	Pa_2_90
2371 alignments/orthologs2371.fas	OG0002912	Pa_2_100
2372 alignments/orthologs2372.fas	OG0002913	Pa_2_110
2373 alignments/orthologs2373.fas	OG0002914	Pa_2_120
2374 alignments/orthologs2374.fas	OG0002915	Pa_2_130
2375 alignments/orthologs2375.fas	OG0002916	Pa_2_140
2376 alignments/orthologs2376.fas	OG0002917	Pa_2_150
2377 alignments/orthologs2377.fas	OG0002918	Pa_2_160
2378 alignments/orthologs2378.fas	OG0002919	Pa_2_170
2379 alignments/orthologs2379.fas	OG0002920	Pa_2_180
2380 alignments/orthologs2380.fas	OG0002921	Pa_2_190
2381 alignments/orthologs2381.fas	OG0002922	Pa_2_200
2382 alignments/orthologs2382.fas	OG0002923	Pa_2_210
2383 alignments/orthologs2383.fas	OG0002924	Pa_2_220
2384 alignments/orthologs2384.fas	OG0002925	Pa_2_230
2385 alignments/orthologs2385.fas	OG0002926	Pa_2_240
2386 alignments/orthologs2386.fas	OG0002927	Pa_2_245
2387 alignments/orthologs2387.fas	OG0002928	Pa_2_250
2388 alignments/orthologs2388.fas	OG0002929	Pa_2_265
2389 alignments/orthologs2389.fas	OG0002930	Pa_2_260
2390 alignments/orthologs2390.fas	OG0002931	Pa_2_270
2391 alignments/orthologs2391.fas	OG0002932	Pa_2_280
2392 alignments/orthologs2392.fas	OG0002933	Pa_2_290
2393 alignments/orthologs2393.fas	OG0002934	Pa_2_300
2394 alignments/orthologs2394.fas	OG0002935	Pa_2_310
2395 alignments/orthologs2395.fas	OG0002936	Pa_2_320
2396 alignments/orthologs2396.fas	OG0002937	Pa_2_330
2397 alignments/orthologs2397.fas	OG0002938	Pa_2_340
2398 alignments/orthologs2398.fas	OG0002939	Pa_2_350
2399 alignments/orthologs2399.fas	OG0002940	Pa_2_360
2400 alignments/orthologs2400.fas	OG0002941	Pa_2_370
2401 alignments/orthologs2401.fas	OG0002942	Pa_2_390
2402 alignments/orthologs2402.fas	OG0002943	Pa_2_400
2403 alignments/orthologs2403.fas	OG0002944	Pa_2_410
2404 alignments/orthologs2404.fas	OG0002945	Pa_2_420
2405 alignments/orthologs2405.fas	OG0002946	Pa_2_430
2406 alignments/orthologs2406.fas	OG0002947	Pa_2_440
2407 alignments/orthologs2407.fas	OG0002948	Pa_2_450
2408 alignments/orthologs2408.fas	OG0002949	Pa_2_460
2409 alignments/orthologs2409.fas	OG0002950	Pa_2_470
2410 alignments/orthologs2410.fas	OG0002951	Pa_2_483
2411 alignments/orthologs2411.fas	OG0002952	Pa_2_490
2412 alignments/orthologs2412.fas	OG0002953	Pa_2_492
2413 alignments/orthologs2413.fas	OG0002954	Pa_2_495
2414 alignments/orthologs2414.fas	OG0002955	Pa_2_498
2415 alignments/orthologs2415.fas	OG0002956	Pa_2_499
2416 alignments/orthologs2416.fas	OG0002957	Pa_2_500
2417 alignments/orthologs2417.fas	OG0002958	Pa_2_506
2418 alignments/orthologs2418.fas	OG0002959	Pa_2_530
2419 alignments/orthologs2419.fas	OG0002960	Pa_2_540
2420 alignments/orthologs2420.fas	OG0002961	Pa_2_550
2421 alignments/orthologs2421.fas	OG0002962	Pa_2_560
2422 alignments/orthologs2422.fas	OG0002963	Pa_2_570
2423 alignments/orthologs2423.fas	OG0002964	Pa_2_580
2424 alignments/orthologs2424.fas	OG0002965	Pa_2_590
2425 alignments/orthologs2425.fas	OG0002966	Pa_2_610
2426 alignments/orthologs2426.fas	OG0002967	Pa_2_620
2427 alignments/orthologs2427.fas	OG0002968	Pa_2_630
2428 alignments/orthologs2428.fas	OG0002969	Pa_2_640
2429 alignments/orthologs2429.fas	OG0002970	Pa_2_645
2430 alignments/orthologs2430.fas	OG0002971	Pa_2_650
2431 alignments/orthologs2431.fas	OG0002972	Pa_2_660
2432 alignments/orthologs2432.fas	OG0002973	Pa_2_670
2433 alignments/orthologs2433.fas	OG0002974	Pa_2_680
2434 alignments/orthologs2434.fas	OG0002975	Pa_2_690
2435 alignments/orthologs2435.fas	OG0002976	Pa_2_700
2436 alignments/orthologs2436.fas	OG0002977	Pa_2_710
2437 alignments/orthologs2437.fas	OG0002978	Pa_2_720
2438 alignments/orthologs2438.fas	OG0002979	Pa_2_730
2439 alignments/orthologs2439.fas	OG0002980	Pa_2_750
2440 alignments/orthologs2440.fas	OG0002981	Pa_2_760
2441 alignments/orthologs2441.fas	OG0002982	Pa_2_770
2442 alignments/orthologs2442.fas	OG0002983	Pa_2_780
2443 alignments/orthologs2443.fas	OG0002984	Pa_2_785
2444 alignments/orthologs2444.fas	OG0002985	Pa_2_790
2445 alignments/orthologs2445.fas	OG0002986	Pa_2_800
2446 alignments/orthologs2446.fas	OG0002987	Pa_2_810
2447 alignments/orthologs2447.fas	OG0002988	Pa_2_820
2448 alignments/orthologs2448.fas	OG0002989	Pa_2_830
2449 alignments/orthologs2449.fas	OG0002990	Pa_2_840
2450 alignments/orthologs2450.fas	OG0002991	Pa_2_845
2451 alignments/orthologs2451.fas	OG0002992	Pa_2_850
2452 alignments/orthologs2452.fas	OG0002993	Pa_2_860
2453 alignments/orthologs2453.fas	OG0002994	Pa_2_870
2454 alignments/orthologs2454.fas	OG0002995	Pa_2_880
2455 alignments/orthologs2455.fas	OG0002996	Pa_2_890
2456 alignments/orthologs2456.fas	OG0002997	Pa_2_900
2457 alignments/orthologs2457.fas	OG0002998	Pa_2_910
2458 alignments/orthologs2458.fas	OG0002999	Pa_2_920
2459 alignments/orthologs2459.fas	OG0003001	Pa_2_940
2460 alignments/orthologs2460.fas	OG0003002	Pa_2_950
2461 alignments/orthologs2461.fas	OG0003003	Pa_2_960
2462 alignments/orthologs2462.fas	OG0003004	Pa_2_970
2463 alignments/orthologs2463.fas	OG0003005	Pa_2_980
2464 alignments/orthologs2464.fas	OG0003006	Pa_2_990
2465 alignments/orthologs2465.fas	OG0003007	Pa_2_1000
2466 alignments/orthologs2466.fas	OG0003008	Pa_2_1010
2467 alignments/orthologs2467.fas	OG0003009	Pa_2_1020
2468 alignments/orthologs2468.fas	OG0003010	Pa_2_1030
2469 alignments/orthologs2469.fas	OG0003011	Pa_2_1045
2470 alignments/orthologs2470.fas	OG0003012	Pa_2_1050
2471 alignments/orthologs2471.fas	OG0003013	Pa_2_1060
2472 alignments/orthologs2472.fas	OG0003014	Pa_2_1070
2473 alignments/orthologs2473.fas	OG0003015	Pa_2_1080
2474 alignments/orthologs2474.fas	OG0003016	Pa_2_1090
2475 alignments/orthologs2475.fas	OG0003017	Pa_2_1100
2476 alignments/orthologs2476.fas	OG0003018	Pa_2_1110
2477 alignments/orthologs2477.fas	OG0003019	Pa_2_1120
2478 alignments/orthologs2478.fas	OG0003020	Pa_2_1130
2479 alignments/orthologs2479.fas	OG0003021	Pa_2_1140
2480 alignments/orthologs2480.fas	OG0003022	Pa_2_1150
2481 alignments/orthologs2481.fas	OG0003023	Pa_2_1160
2482 alignments/orthologs2482.fas	OG0003024	Pa_2_1170
2483 alignments/orthologs2483.fas	OG0003025	Pa_2_1180
2484 alignments/orthologs2484.fas	OG0003026	Pa_2_1190
2485 alignments/orthologs2485.fas	OG0003027	Pa_2_1195
2486 alignments/orthologs2486.fas	OG0003028	Pa_2_1200
2487 alignments/orthologs2487.fas	OG0003029	Pa_2_1210
2488 alignments/orthologs2488.fas	OG0003030	Pa_2_1240
2489 alignments/orthologs2489.fas	OG0003031	Pa_2_1245
2490 alignments/orthologs2490.fas	OG0003032	Pa_2_1250
2491 alignments/orthologs2491.fas	OG0003033	Pa_2_1260
2492 alignments/orthologs2492.fas	OG0003034	Pa_2_1270
2493 alignments/orthologs2493.fas	OG0003035	Pa_2_1280
2494 alignments/orthologs2494.fas	OG0003036	Pa_2_1290
2495 alignments/orthologs2495.fas	OG0003037	Pa_2_1300
2496 alignments/orthologs2496.fas	OG0003038	Pa_2_1320
2497 alignments/orthologs2497.fas	OG0003039	Pa_2_1323
2498 alignments/orthologs2498.fas	OG0003040	Pa_2_1330
2499 alignments/orthologs2499.fas	OG0003041	Pa_2_1350
2500 alignments/orthologs2500.fas	OG0003042	Pa_2_1360
2501 alignments/orthologs2501.fas	OG0003043	Pa_2_1370
2502 alignments/orthologs2502.fas	OG0003044	Pa_2_1380
2503 alignments/orthologs2503.fas	OG0003045	Pa_2_1390
2504 alignments/orthologs2504.fas	OG0003046	Pa_2_1393
2505 alignments/orthologs2505.fas	OG0003047	Pa_2_1410
2506 alignments/orthologs2506.fas	OG0003048	Pa_2_1420
2507 alignments/orthologs2507.fas	OG0003049	Pa_2_1430
2508 alignments/orthologs2508.fas	OG0003050	Pa_2_1440
2509 alignments/orthologs2509.fas	OG0003051	Pa_2_1460
2510 alignments/orthologs2510.fas	OG0003052	Pa_2_1470
2511 alignments/orthologs2511.fas	OG0003053	Pa_2_1480
2512 alignments/orthologs2512.fas	OG0003054	Pa_2_1500
2513 alignments/orthologs2513.fas	OG0003055	Pa_2_1510
2514 alignments/orthologs2514.fas	OG0003056	Pa_2_1520
2515 alignments/orthologs2515.fas	OG0003057	Pa_2_1530
2516 alignments/orthologs2516.fas	OG0003058	Pa_2_1540
2517 alignments/orthologs2517.fas	OG0003059	Pa_2_1550
2518 alignments/orthologs2518.fas	OG0003060	Pa_2_1560
2519 alignments/orthologs2519.fas	OG0003061	Pa_2_1570
2520 alignments/orthologs2520.fas	OG0003062	Pa_2_1580
2521 alignments/orthologs2521.fas	OG0003063	Pa_2_1590
2522 alignments/orthologs2522.fas	OG0003064	Pa_2_1600
2523 alignments/orthologs2523.fas	OG0003065	Pa_2_1610
2524 alignments/orthologs2524.fas	OG0003066	Pa_2_1630
2525 alignments/orthologs2525.fas	OG0003067	Pa_2_1640
2526 alignments/orthologs2526.fas	OG0003068	Pa_2_1660
2527 alignments/orthologs2527.fas	OG0003069	Pa_2_1670
2528 alignments/orthologs2528.fas	OG0003070	Pa_2_1680
2529 alignments/orthologs2529.fas	OG0003071	Pa_2_1690
2530 alignments/orthologs2530.fas	OG0003072	Pa_2_1705
2531 alignments/orthologs2531.fas	OG0003073	Pa_2_1710
2532 alignments/orthologs2532.fas	OG0003074	Pa_2_1720
2533 alignments/orthologs2533.fas	OG0003075	Pa_2_1740
2534 alignments/orthologs2534.fas	OG0003076	Pa_2_1750
2535 alignments/orthologs2535.fas	OG0003077	Pa_2_1760
2536 alignments/orthologs2536.fas	OG0003078	Pa_2_1770
2537 alignments/orthologs2537.fas	OG0003079	Pa_2_1790
2538 alignments/orthologs2538.fas	OG0003080	Pa_2_1800
2539 alignments/orthologs2539.fas	OG0003081	Pa_2_1810
2540 alignments/orthologs2540.fas	OG0003082	Pa_2_1820
2541 alignments/orthologs2541.fas	OG0003083	Pa_2_1830
2542 alignments/orthologs2542.fas	OG0003084	Pa_2_1835
2543 alignments/orthologs2543.fas	OG0003085	Pa_2_1840
2544 alignments/orthologs2544.fas	OG0003086	Pa_2_1850
2545 alignments/orthologs2545.fas	OG0003087	Pa_2_1860
2546 alignments/orthologs2546.fas	OG0003088	Pa_2_1870
2547 alignments/orthologs2547.fas	OG0003089	Pa_2_1880
2548 alignments/orthologs2548.fas	OG0003090	Pa_2_1890
2549 alignments/orthologs2549.fas	OG0003091	Pa_2_1910
2550 alignments/orthologs2550.fas	OG0003092	Pa_2_1920
2551 alignments/orthologs2551.fas	OG0003093	Pa_2_1930
2552 alignments/orthologs2552.fas	OG0003094	Pa_2_1940
2553 alignments/orthologs2553.fas	OG0003095	Pa_2_1950
2554 alignments/orthologs2554.fas	OG0003096	Pa_2_1960
2555 alignments/orthologs2555.fas	OG0003097	Pa_2_1970
2556 alignments/orthologs2556.fas	OG0003098	Pa_2_1975
2557 alignments/orthologs2557.fas	OG0003099	Pa_2_1980
2558 alignments/orthologs2558.fas	OG0003100	Pa_2_1990
2559 alignments/orthologs2559.fas	OG0003101	Pa_2_2000
2560 alignments/orthologs2560.fas	OG0003102	Pa_2_2020
2561 alignments/orthologs2561.fas	OG0003103	Pa_2_2030
2562 alignments/orthologs2562.fas	OG0003104	Pa_2_2040
2563 alignments/orthologs2563.fas	OG0003105	Pa_2_2055
2564 alignments/orthologs2564.fas	OG0003106	Pa_2_2060
2565 alignments/orthologs2565.fas	OG0003107	Pa_2_2080
2566 alignments/orthologs2566.fas	OG0003108	Pa_2_2090
2567 alignments/orthologs2567.fas	OG0003109	Pa_2_2100
2568 alignments/orthologs2568.fas	OG0003110	Pa_2_2110
2569 alignments/orthologs2569.fas	OG0003111	Pa_2_2120
2570 alignments/orthologs2570.fas	OG0003112	Pa_2_2130
2571 alignments/orthologs2571.fas	OG0003113	Pa_2_2140
2572 alignments/orthologs2572.fas	OG0003114	Pa_2_2150
2573 alignments/orthologs2573.fas	OG0003115	Pa_2_2160
2574 alignments/orthologs2574.fas	OG0003116	Pa_2_2170
2575 alignments/orthologs2575.fas	OG0003117	Pa_2_2180
2576 alignments/orthologs2576.fas	OG0003118	Pa_2_2190
2577 alignments/orthologs2577.fas	OG0003119	Pa_2_2200
2578 alignments/orthologs2578.fas	OG0003120	Pa_2_2210
2579 alignments/orthologs2579.fas	OG0003121	Pa_2_2220
2580 alignments/orthologs2580.fas	OG0003122	Pa_2_2230
2581 alignments/orthologs2581.fas	OG0003123	Pa_2_2240
2582 alignments/orthologs2582.fas	OG0003124	Pa_2_2250
2583 alignments/orthologs2583.fas	OG0003125	Pa_2_2260
2584 alignments/orthologs2584.fas	OG0003126	Pa_2_2270
2585 alignments/orthologs2585.fas	OG0003127	Pa_2_2280
2586 alignments/orthologs2586.fas	OG0003128	Pa_2_2290
2587 alignments/orthologs2587.fas	OG0003129	Pa_2_2300
2588 alignments/orthologs2588.fas	OG0003130	Pa_2_2310
2589 alignments/orthologs2589.fas	OG0003131	Pa_2_2320
2590 alignments/orthologs2590.fas	OG0003132	Pa_2_2330
2591 alignments/orthologs2591.fas	OG0003133	Pa_2_2340
2592 alignments/orthologs2592.fas	OG0003134	Pa_2_2350
2593 alignments/orthologs2593.fas	OG0003135	Pa_2_2360
2594 alignments/orthologs2594.fas	OG0003136	Pa_2_2370
2595 alignments/orthologs2595.fas	OG0003137	Pa_2_2390
2596 alignments/orthologs2596.fas	OG0003138	Pa_2_2410
2597 alignments/orthologs2597.fas	OG0003139	Pa_2_2420
2598 alignments/orthologs2598.fas	OG0003140	Pa_2_2430
2599 alignments/orthologs2599.fas	OG0003141	Pa_2_2440
2600 alignments/orthologs2600.fas	OG0003142	Pa_2_2450
2601 alignments/orthologs2601.fas	OG0003143	Pa_2_2460
2602 alignments/orthologs2602.fas	OG0003144	Pa_2_2470
2603 alignments/orthologs2603.fas	OG0003145	Pa_2_2480
2604 alignments/orthologs2604.fas	OG0003146	Pa_2_2490
2605 alignments/orthologs2605.fas	OG0003147	Pa_2_2500
2606 alignments/orthologs2606.fas	OG0003148	Pa_2_2510
2607 alignments/orthologs2607.fas	OG0003149	Pa_2_2520
2608 alignments/orthologs2608.fas	OG0003150	Pa_2_2530
2609 alignments/orthologs2609.fas	OG0003151	Pa_2_2540
2610 alignments/orthologs2610.fas	OG0003152	Pa_2_2550
2611 alignments/orthologs2611.fas	OG0003153	Pa_2_2560
2612 alignments/orthologs2612.fas	OG0003154	Pa_2_2570
2613 alignments/orthologs2613.fas	OG0003155	Pa_2_2580
2614 alignments/orthologs2614.fas	OG0003156	Pa_2_2600
2615 alignments/orthologs2615.fas	OG0003157	Pa_2_2610
2616 alignments/orthologs2616.fas	OG0003158	Pa_2_2620
2617 alignments/orthologs2617.fas	OG0003159	Pa_2_2630
2618 alignments/orthologs2618.fas	OG0003160	Pa_2_2650
2619 alignments/orthologs2619.fas	OG0003161	Pa_2_2660
2620 alignments/orthologs2620.fas	OG0003162	Pa_2_2670
2621 alignments/orthologs2621.fas	OG0003163	Pa_2_2680
2622 alignments/orthologs2622.fas	OG0003164	Pa_2_2700
2623 alignments/orthologs2623.fas	OG0003165	Pa_2_2710
2624 alignments/orthologs2624.fas	OG0003166	Pa_2_2730
2625 alignments/orthologs2625.fas	OG0003167	Pa_2_2635
2626 alignments/orthologs2626.fas	OG0003168	Pa_2_2740
2627 alignments/orthologs2627.fas	OG0003169	Pa_2_2750
2628 alignments/orthologs2628.fas	OG0003170	Pa_2_2770
2629 alignments/orthologs2629.fas	OG0003171	Pa_2_2780
2630 alignments/orthologs2630.fas	OG0003172	Pa_2_2810
2631 alignments/orthologs2631.fas	OG0003173	Pa_2_2820
2632 alignments/orthologs2632.fas	OG0003174	Pa_2_2830
2633 alignments/orthologs2633.fas	OG0003175	Pa_2_2840
2634 alignments/orthologs2634.fas	OG0003176	Pa_2_2860
2635 alignments/orthologs2635.fas	OG0003177	Pa_2_2850
2636 alignments/orthologs2636.fas	OG0003178	Pa_2_2870
2637 alignments/orthologs2637.fas	OG0003179	Pa_2_2880
2638 alignments/orthologs2638.fas	OG0003180	Pa_2_2890
2639 alignments/orthologs2639.fas	OG0003181	Pa_2_2900
2640 alignments/orthologs2640.fas	OG0003182	Pa_2_2910
2641 alignments/orthologs2641.fas	OG0003183	Pa_2_2920
2642 alignments/orthologs2642.fas	OG0003184	Pa_2_2930
2643 alignments/orthologs2643.fas	OG0003185	Pa_2_2935
2644 alignments/orthologs2644.fas	OG0003186	Pa_2_2940
2645 alignments/orthologs2645.fas	OG0003187	Pa_2_2950
2646 alignments/orthologs2646.fas	OG0003188	Pa_2_2960
2647 alignments/orthologs2647.fas	OG0003189	Pa_2_2970
2648 alignments/orthologs2648.fas	OG0003190	Pa_2_2980
2649 alignments/orthologs2649.fas	OG0003191	Pa_2_2990
2650 alignments/orthologs2650.fas	OG0003192	Pa_2_3000
2651 alignments/orthologs2651.fas	OG0003193	Pa_2_3010
2652 alignments/orthologs2652.fas	OG0003194	Pa_2_3040
2653 alignments/orthologs2653.fas	OG0003195	Pa_2_3045
2654 alignments/orthologs2654.fas	OG0003196	Pa_2_3050
2655 alignments/orthologs2655.fas	OG0003197	Pa_2_3060
2656 alignments/orthologs2656.fas	OG0003198	Pa_2_3070
2657 alignments/orthologs2657.fas	OG0003199	Pa_2_3080
2658 alignments/orthologs2658.fas	OG0003200	Pa_2_3090
2659 alignments/orthologs2659.fas	OG0003201	Pa_2_3100
2660 alignments/orthologs2660.fas	OG0003202	Pa_2_3110
2661 alignments/orthologs2661.fas	OG0003203	Pa_2_3120
2662 alignments/orthologs2662.fas	OG0003204	Pa_2_3130
2663 alignments/orthologs2663.fas	OG0003205	Pa_2_3140
2664 alignments/orthologs2664.fas	OG0003206	Pa_2_3150
2665 alignments/orthologs2665.fas	OG0003207	Pa_2_3160
2666 alignments/orthologs2666.fas	OG0003208	Pa_2_3170
2667 alignments/orthologs2667.fas	OG0003209	Pa_2_3180
2668 alignments/orthologs2668.fas	OG0003210	Pa_2_3190
2669 alignments/orthologs2669.fas	OG0003211	Pa_2_3200
2670 alignments/orthologs2670.fas	OG0003212	Pa_2_3210
2671 alignments/orthologs2671.fas	OG0003213	Pa_2_3220
2672 alignments/orthologs2672.fas	OG0003214	Pa_2_3230
2673 alignments/orthologs2673.fas	OG0003215	Pa_2_3240
2674 alignments/orthologs2674.fas	OG0003216	Pa_2_3250
2675 alignments/orthologs2675.fas	OG0003217	Pa_2_3260
2676 alignments/orthologs2676.fas	OG0003218	Pa_2_3270
2677 alignments/orthologs2677.fas	OG0003219	Pa_2_3280
2678 alignments/orthologs2678.fas	OG0003220	Pa_2_3290
2679 alignments/orthologs2679.fas	OG0003221	Pa_2_3295
2680 alignments/orthologs2680.fas	OG0003222	Pa_2_3300
2681 alignments/orthologs2681.fas	OG0003223	Pa_2_3320
2682 alignments/orthologs2682.fas	OG0003224	Pa_2_3330
2683 alignments/orthologs2683.fas	OG0003225	Pa_2_3338
2684 alignments/orthologs2684.fas	OG0003226	Pa_2_3340
